Pango.lineage	APES	Collection.date	APESS	APESS.
326	B.1.1.114	0	2020-04-12	0	0.000684460738124483
327	B.1.1.115	0	2020-07-12	0	0.000684460738124483
328	B.1.1.116	0	2020-12-21	0	0.000756992600489525
329	B.1.1.117	0	2020-06-11	0	0.000607601860154947
330	B.1.1.118	0	2020-06-18	0	0.000550313754866613
331	B.1.1.119	0	2021-08-07	0	0.000684460738124483
332	B.1.1.12	0	2021-01-03	0	0.000684460738124483
333	B.1.1.120	0	2020-06-07	0	0.00102050766297234
334	B.1.1.121	0	2020-08-30	0	0.000684460738124483
335	B.1.1.122	0	2020-06-12	0	0.00076404668656953
336	B.1.1.123	0	2020-06-05	0	0.000383467257637113
337	B.1.1.125	0	2020-07-02	0	0.000684460738124483
338	B.1.1.127	0	2020-04-30	0	0.000684460738124483
339	B.1.1.128	0	2020-07-02	0	0.000607601860154947
340	B.1.1.129	0	2020-04-09	0	0.000684460738124483
341	B.1.1.13	0	2020-04-06	0	0.000684460738124483
342	B.1.1.130	0	2020-08-26	0	0.000684460738124483
343	B.1.1.132	0	2020-07-10	0	0.000684460738124483
344	B.1.1.133	0	2020-06-30	0	0.000684460738124483
345	B.1.1.134	0	2020-05-01	0	0.000684460738124483
346	B.1.1.135	0	2020-10-20	0	0.000684460738124483
347	B.1.1.136	-0.3337	2020-06-26	-0.0031	0.00362422576255508
348	B.1.1.137	0	2020-04-13	0	0.000684460738124483
349	B.1.1.138	0	2020-11-05	0	0.000684460738124483
350	B.1.1.139	0	2020-09-08	0	0.000684460738124483
351	B.1.1.14	0	2020-05-20	0	0.000684460738124483
352	B.1.1.141	0	2020-12-25	0	-0.00399061597275503
353	B.1.1.142	0	2020-03-04	0	0.000684460738124483
354	B.1.1.144	0	2020-10-14	0	0.000684460738124483
355	B.1.1.145	0	2020-06-11	0	0.000392320007063212
356	B.1.1.147	0	2020-06-04	0	0.000792588851299419
357	B.1.1.148	0	2020-07-25	0	0.000684460738124483
358	B.1.1.149	0	2020-05-30	0	0.00217514847599762
359	B.1.1.15	0	2020-07-21	0	0.000684460738124483
360	B.1.1.152	0	2020-09-05	0	-5.83867580229048e-05
361	B.1.1.153	0	2021-02-14	0	0.000589066309391905
362	B.1.1.154	0	2020-04-03	0	0.000684460738124483
363	B.1.1.155	0	2020-06-09	0	0.000684460738124483
364	B.1.1.157	0	2020-10-02	0	0.000725452276070093
365	B.1.1.158	0	2020-06-08	0	0.000684460738124483
366	B.1.1.159	0	2021-02-16	0	0.000684460738124483
367	B.1.1.16	0	2020-04-13	0	0.000699843171472669
368	B.1.1.160	0	2020-05-04	0	0.000684460738124483
369	B.1.1.162	0	2020-03-26	0	0.000684460738124483
370	B.1.1.163	0	2020-05-27	0	0.000684460738124483
371	B.1.1.164	0	2020-04-04	0	0.000684460738124483
373	B.1.1.166	0	2020-03-29	0	0.000684460738124483
374	B.1.1.168	0	2020-05-20	0	0.000742869189260233
375	B.1.1.169	0	2021-01-02	0	-0.000206467255552366
376	B.1.1.17	0	2020-03-18	0	0.000607601860154947
377	B.1.1.170	0	2021-01-09	0	0.000684460738124483
